[Log] 0.1557914459678534 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.0999494467253796 (Obstacle-start-circular.html, line 124)
[Log] 0.14479816057951603 (Obstacle-start-circular.html, line 124)
[Log] 0.13239581607408785 (Obstacle-start-circular.html, line 124)
[Log] 0.16673402837141532 (Obstacle-start-circular.html, line 124)
[Log] 0.1679850176059653 (Obstacle-start-circular.html, line 124)
[Log] 0.11533592920433462 (Obstacle-start-circular.html, line 124)
[Log] 0.1766785749279453 (Obstacle-start-circular.html, line 124)
[Log] 0.14465916135491344 (Obstacle-start-circular.html, line 124)
[Log] 0.1400778750890625 (Obstacle-start-circular.html, line 124)
[Log] 0.160217494126529 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.13145420568875457 (Obstacle-start-circular.html, line 124)
[Log] 0.11781123286915796 (Obstacle-start-circular.html, line 124)
[Log] 0.16100604669279087 (Obstacle-start-circular.html, line 124)
[Log] 0.11033686683879498 (Obstacle-start-circular.html, line 124)
[Log] 0.09925113761400815 (Obstacle-start-circular.html, line 124)
[Log] 0.14881369859681573 (Obstacle-start-circular.html, line 124)
[Log] 0.11352861459367058 (Obstacle-start-circular.html, line 124)
[Log] 0.13280103728182496 (Obstacle-start-circular.html, line 124)
[Log] 0.20973808899311872 (Obstacle-start-circular.html, line 124)
[Log] 0.09008585026015078 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.09680847707153921 (Obstacle-start-circular.html, line 124)
[Log] 0.17092872669452522 (Obstacle-start-circular.html, line 124)
[Log] 0.1715788104665119 (Obstacle-start-circular.html, line 124)
[Log] 0.1344982349562464 (Obstacle-start-circular.html, line 124)
[Log] 0.08546680354829331 (Obstacle-start-circular.html, line 124)
[Log] 0.08266106451619162 (Obstacle-start-circular.html, line 124)
[Log] 0.12770075161427105 (Obstacle-start-circular.html, line 124)
[Log] 0.12688132790663692 (Obstacle-start-circular.html, line 124)
[Log] 0.12528970010676116 (Obstacle-start-circular.html, line 124)
[Log] 0.10768691191078723 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.15132933693626677 (Obstacle-start-circular.html, line 124)
[Log] 0.13346101113573777 (Obstacle-start-circular.html, line 124)
[Log] 0.11328994726481934 (Obstacle-start-circular.html, line 124)
[Log] 0.10813024185513154 (Obstacle-start-circular.html, line 124)
[Log] 0.12421581308541393 (Obstacle-start-circular.html, line 124)
[Log] 0.08567672705933943 (Obstacle-start-circular.html, line 124)
[Log] 0.1197026873368694 (Obstacle-start-circular.html, line 124)
[Log] 0.11053838720274738 (Obstacle-start-circular.html, line 124)
[Log] 0.11364623539480152 (Obstacle-start-circular.html, line 124)
[Log] 0.1049777866641933 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.0964337075453836 (Obstacle-start-circular.html, line 124)
[Log] 0.158875154326496 (Obstacle-start-circular.html, line 124)
[Log] 0.14148489279092438 (Obstacle-start-circular.html, line 124)
[Log] 0.10264284147928497 (Obstacle-start-circular.html, line 124)
[Log] 0.16251853321066875 (Obstacle-start-circular.html, line 124)
[Log] 0.12060537439696409 (Obstacle-start-circular.html, line 124)
[Log] 0.13267503443728262 (Obstacle-start-circular.html, line 124)
[Log] 0.09657145616279486 (Obstacle-start-circular.html, line 124)
[Log] 0.10501679303359786 (Obstacle-start-circular.html, line 124)
[Log] 0.11678879974570366 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.08860878036732775 (Obstacle-start-circular.html, line 124)
[Log] 0.12612153701729642 (Obstacle-start-circular.html, line 124)
[Log] 0.10173185660664134 (Obstacle-start-circular.html, line 124)
[Log] 0.11742142740218556 (Obstacle-start-circular.html, line 124)
[Log] 0.07589071723107425 (Obstacle-start-circular.html, line 124)
[Log] 0.10561053627001422 (Obstacle-start-circular.html, line 124)
[Log] 0.1716064600932386 (Obstacle-start-circular.html, line 124)
[Log] 0.14067007895678746 (Obstacle-start-circular.html, line 124)
[Log] 0.11179538300069705 (Obstacle-start-circular.html, line 124)
[Log] 0.14537482032097426 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.0832614740617464 (Obstacle-start-circular.html, line 124)
[Log] 0.11286211241941668 (Obstacle-start-circular.html, line 124)
[Log] 0.1951816981712521 (Obstacle-start-circular.html, line 124)
[Log] 0.15869082190528816 (Obstacle-start-circular.html, line 124)
[Log] 0.18351621533979334 (Obstacle-start-circular.html, line 124)
[Log] 0.14601489299665507 (Obstacle-start-circular.html, line 124)
[Log] 0.10663119774952592 (Obstacle-start-circular.html, line 124)
[Log] 0.13652365122271318 (Obstacle-start-circular.html, line 124)
[Log] 50.104457509743355 (Obstacle-start-circular.html, line 124)
[Log] 0.15418433681598068 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.12736597750909245 (Obstacle-start-circular.html, line 124)
[Log] 0.09963706483214929 (Obstacle-start-circular.html, line 124)
[Log] 0.16216131306749418 (Obstacle-start-circular.html, line 124)
[Log] 0.1426628375831533 (Obstacle-start-circular.html, line 124)
[Log] 0.14294607889642544 (Obstacle-start-circular.html, line 124)
